,ServicingLenderName,idservicinglender,BorrowerState,CurrentApprovalAmount_Tatal,CurrentApprovalAmount_Count,Symbol
390,"PNC Bank, National Association",7,IA,3693642.0,20,ZION
391,"PNC Bank, National Association",7,WY,3685686.0,11,ZION
392,"PNC Bank, National Association",7,NE,3613591.0,5,ZION
393,"PNC Bank, National Association",7,MS,3214194.88,19,ZION
394,"PNC Bank, National Association",7,AR,1077324.58,7,ZION
395,"PNC Bank, National Association",7,HI,1021355.0,5,ZION
396,"PNC Bank, National Association",7,ND,862604.0,3,ZION
397,"PNC Bank, National Association",7,NH,390917.0,5,ZION
398,"PNC Bank, National Association",7,ME,272570.0,4,ZION
399,"PNC Bank, National Association",7,PR,184436.0,8,ZION
400,"PNC Bank, National Association",7,SD,175850.0,2,ZION
401,"PNC Bank, National Association",7,RI,95405.0,5,ZION
402,"PNC Bank, National Association",7,VT,90000.0,2,ZION
403,"PNC Bank, National Association",7,ID,25677.0,2,ZION
404,Truist Bank,11,FL,3337945147.01,30285,0
405,Truist Bank,11,NC,2882800562.48,22158,0
406,Truist Bank,11,GA,2264613710.18,15633,0
407,Truist Bank,11,VA,2244640188.3,15459,0
408,Truist Bank,11,MD,1438032283.23,8533,0
409,Truist Bank,11,PA,756270383.24,5475,0
410,Truist Bank,11,SC,642387228.47,5410,0
411,Truist Bank,11,TN,565809353.28,4340,0
412,Truist Bank,11,TX,507296113.61,2856,0
413,Truist Bank,11,DC,368575342.0,1388,0
414,Truist Bank,11,KY,251267340.87,1749,0
415,Truist Bank,11,WV,243994012.36,1482,0
416,Truist Bank,11,NJ,193394459.53,963,0
417,Truist Bank,11,AL,147462884.06,1266,0
418,Truist Bank,11,OH,88801463.88,182,0
419,Truist Bank,11,NY,51099342.1,115,0
420,Truist Bank,11,CA,35551283.1,83,0
421,Truist Bank,11,IN,31693382.14,96,0
422,Truist Bank,11,MA,23358060.25,43,0
423,Truist Bank,11,CO,18627375.69,39,0
424,Truist Bank,11,CT,16775641.42,29,0
425,Truist Bank,11,AK,13309353.92,12,0
426,Truist Bank,11,DE,9465947.42,62,0
427,Truist Bank,11,MI,8161251.16,27,0
428,Truist Bank,11,WA,7498486.56,14,0
429,Truist Bank,11,IL,7241692.23,21,0
430,Truist Bank,11,MS,6915687.0,53,0
431,Truist Bank,11,LA,5534054.87,20,0
432,Truist Bank,11,WI,4947986.42,7,0
433,Truist Bank,11,NH,4628069.53,6,0
434,Truist Bank,11,MO,4543948.03,14,0
435,Truist Bank,11,AZ,3376116.65,17,0
436,Truist Bank,11,AR,3268458.55,27,0
437,Truist Bank,11,ID,2974013.42,8,0
438,Truist Bank,11,KS,2822915.0,2,0
439,Truist Bank,11,NV,1885493.24,16,0
440,Truist Bank,11,VT,1835370.0,4,0
441,Truist Bank,11,UT,1420141.5,7,0
442,Truist Bank,11,NE,1296710.74,2,0
443,Truist Bank,11,OK,1016328.53,6,0
444,Truist Bank,11,ME,962577.09,3,0
445,Truist Bank,11,WY,910683.76,9,0
446,Truist Bank,11,OR,875660.63,8,0
447,Truist Bank,11,VI,483623.0,2,0
448,Truist Bank,11,RI,423051.24,3,0
449,Truist Bank,11,NM,319455.0,3,0
450,Truist Bank,11,MN,300306.95,4,0
451,Truist Bank,11,PR,279231.0,2,0
452,Truist Bank,11,MT,182201.25,3,0
453,Truist Bank,11,IA,180230.0,2,0
454,Truist Bank,11,SD,54314.58,2,0
455,Truist Bank,11,ND,41666.0,2,0
456,Truist Bank,11,HI,12768.33,4,0
457,"TD Bank, National Association",223,NY,3294565410.87,34254,TD-PFK.TO
458,"TD Bank, National Association",223,NJ,3161375956.8,35991,TD-PFK.TO
